"idnum","lname","fname","city","state","hphone"
1919,ADAMS,GERALD,STAMFORD,CT,203/781-1255
1653,ALIBRANDI,MARIA,BRIDGEPORT,CT,203/675-7715
1400,ALHERTANI,ABDULLAH,NEW YORK,NY,212/586-0808
1350,ALVAREZ,MERCEDES,NEW YORK,NY,718/383-1549
1401,ALVAREZ,CARLOS,PATERSON,NJ,201/732-8787
1499,BAREFOOT,JOSEPH,PRINCETON,NJ,201/812-5665
1101,BAUCOM,WALTER,NEW YORK,NY,212/586-8060
1333,BANADYGA,JUSTIN,STAMFORD,CT,203/781-1777
1402,BLALOCK,RALPH,NEW YORK,NY,718/384-2849
1479,BALLETTI,MARIE,NEW YORK,NY,718/384-8816
1403,BOWDEN,EARL,BRIDGEPORT,CT,203/675-3434
1739,BRANCACCIO,JOSEPH,NEW YORK,NY,212/587-1247
1658,BREUHAUS,JEREMY,NEW YORK,NY,212/587-3622
1428,BRADY,CHRISTINE,STAMFORD,CT,203/781-1212
1782,BREWCZAK,JAKOB,STAMFORD,CT,203/781-0019
1244,BUCCI,ANTHONY,NEW YORK,NY,718/383-3334
1383,BURNETTE,THOMAS,NEW YORK,NY,718/384-3569
1574,CAHILL,MARSHALL,NEW YORK,NY,718/383-2338
1789,CARAWAY,DAVIS,NEW YORK,NY,212/587-9000
1404,COHEN,LEE,NEW YORK,NY,718/384-2946
1437,CARTER,DOROTHY,BRIDGEPORT,CT,203/675-4117
1639,CARTER-COHEN,KAREN,STAMFORD,CT,203/781-8839
1269,CASTON,FRANKLIN,STAMFORD,CT,203/781-3335
1065,COPAS,FREDERICO,NEW YORK,NY,718/384-5618
1876,CHIN,JACK,NEW YORK,NY,212/588-5634
1037,CHOW,JANE,STAMFORD,CT,203/781-8868
1129,COUNIHAN,BRENDA,NEW YORK,NY,718/383-2313
1988,COOPER,ANTHONY,NEW YORK,NY,212/587-1228
1405,DACKO,JASON,PATERSON,NJ,201/732-2323
1430,DABROWSKI,SANDRA,BRIDGEPORT,CT,203/675-1647
1983,DEAN,SHARON,NEW YORK,NY,718/384-1647
1134,DELGADO,MARIA,STAMFORD,CT,203/781-1528
1118,DENNIS,ROGER,NEW YORK,NY,718/383-1122
1438,DABBOUSSI,KAMILLA,STAMFORD,CT,203/781-2229
1125,DUNLAP,DONNA,NEW YORK,NY,718/383-2094
1475,ELGES,MARGARETE,NEW YORK,NY,718/383-2828
1117,EDGERTON,JOSHUA,NEW YORK,NY,212/588-1239
1935,FERNANDEZ,KATRINA,BRIDGEPORT,CT,203/675-2962
